Word/Phrase,Meaning,Usage in Sentence
Yasama,Sovereignty,"Yasama, demokrasinin işleyişinde kritik bir rol oynar."
Yürütme,Constitutional amendment,"Yürütme, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yargı,Freedom,Yargı üzerine yoğun tartışmalar yaşanmaktadır.
Propaganda,Coalition,Propaganda kavramı modern siyaset biliminin temelini oluşturur.
Bürokrasi,State policy,Bürokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Ekonomi politikası,National interests,"Ekonomi politikası perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yerel yönetim,Democracy,"Yerel yönetim, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal güvenlik,Ruling party,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Parliamentary system,Anayasa değişikliği kavramı modern siyaset biliminin temelini oluşturur.
Parlamento sistemi,Election,Parlamento sistemi kavramı modern siyaset biliminin temelini oluşturur.
Siyasi kriz,Democracy,Siyasi kriz kavramı modern siyaset biliminin temelini oluşturur.
Parti disiplini,Parliamentary system,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Political crisis,"Ulusal çıkarlar, demokrasinin işleyişinde kritik bir rol oynar."
Kamuoyu,Pluralism,Kamuoyu kavramı modern siyaset biliminin temelini oluşturur.
Devlet politikası,National interests,Devlet politikası kavramı modern siyaset biliminin temelini oluşturur.
Sivil toplum,Economic policy,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,Diplomacy,"Yolsuzluk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Çoğulculuk,Parliament,"Çoğulculuk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Temsili demokrasi,Coalition,"Temsili demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Egemenlik,Pluralism,"Egemenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bağımsızlık,Local government,Bağımsızlık konusunda yapılan reformlar geniş yankı uyandırdı.
Demokrasi,Human rights,Demokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Hukukun üstünlüğü,Coalition,Bir toplumun Hukukun üstünlüğü ilkelerine bağlı olması önemlidir.
İnsan hakları,Parliamentary system,"İnsan hakları, demokrasinin işleyişinde kritik bir rol oynar."
Anayasa,Propaganda,"Anayasa, günümüz siyasetinde bir dönüm noktasıdır."
Özgürlük,Pluralism,Özgürlük kavramı modern siyaset biliminin temelini oluşturur.
Siyaset,International relations,Siyaset kavramı modern siyaset biliminin temelini oluşturur.
Diplomasi,Election,"Diplomasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Uluslararası ilişkiler,Election,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Local government,Meclis üzerine yoğun tartışmalar yaşanmaktadır.
Reform,Politics,"Reform perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Muhalefet,Public opinion,Muhalefet üzerine yoğun tartışmalar yaşanmaktadır.
İktidar,Local government,İktidar üzerine yoğun tartışmalar yaşanmaktadır.
Seçim,Ruling party,Seçim üzerine yoğun tartışmalar yaşanmaktadır.
Koalisyon,Freedom,Bir toplumun Koalisyon ilkelerine bağlı olması önemlidir.
Halk egemenliği,Reform,"Halk egemenliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yasama,Pluralism,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,Party discipline,"Yürütme, demokrasinin işleyişinde kritik bir rol oynar."
Yargı,Constitution,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Propaganda,Judiciary,"Propaganda, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bürokrasi,International relations,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Freedom,"Ekonomi politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yerel yönetim,State policy,"Yerel yönetim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal güvenlik,Pluralism,Ulusal güvenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Anayasa değişikliği,Legislation,Anayasa değişikliği konusunda yapılan reformlar geniş yankı uyandırdı.
Parlamento sistemi,National interests,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,Local government,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,Judiciary,Parti disiplini kavramı modern siyaset biliminin temelini oluşturur.
Ulusal çıkarlar,Legislation,Ulusal çıkarlar konusunda yapılan reformlar geniş yankı uyandırdı.
Kamuoyu,Rule of law,Kamuoyu konusunda yapılan reformlar geniş yankı uyandırdı.
Devlet politikası,International relations,Devlet politikası üzerine yoğun tartışmalar yaşanmaktadır.
Sivil toplum,Rule of law,Sivil toplum üzerine yoğun tartışmalar yaşanmaktadır.
Yolsuzluk,Human rights,"Yolsuzluk, günümüz siyasetinde bir dönüm noktasıdır."
Çoğulculuk,Sovereignty,Çoğulculuk üzerine yoğun tartışmalar yaşanmaktadır.
Temsili demokrasi,Parliament,Bir toplumun Temsili demokrasi ilkelerine bağlı olması önemlidir.
Egemenlik,Independence,"Egemenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bağımsızlık,Ruling party,"Bağımsızlık, demokrasinin işleyişinde kritik bir rol oynar."
Demokrasi,Judiciary,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Popular sovereignty,"Hukukun üstünlüğü, demokrasinin işleyişinde kritik bir rol oynar."
İnsan hakları,Constitutional amendment,İnsan hakları üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa,Popular sovereignty,"Anayasa perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Özgürlük,Civil society,"Özgürlük, demokrasinin işleyişinde kritik bir rol oynar."
Siyaset,National interests,Bir toplumun Siyaset ilkelerine bağlı olması önemlidir.
Diplomasi,Public opinion,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Human rights,Uluslararası ilişkiler üzerine yoğun tartışmalar yaşanmaktadır.
Meclis,Diplomacy,Bir toplumun Meclis ilkelerine bağlı olması önemlidir.
Reform,State policy,"Reform perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Muhalefet,Executive,Bir toplumun Muhalefet ilkelerine bağlı olması önemlidir.
İktidar,Party discipline,"İktidar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Seçim,Diplomacy,Seçim konusunda yapılan reformlar geniş yankı uyandırdı.
Koalisyon,Public opinion,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Corruption,Halk egemenliği konusunda yapılan reformlar geniş yankı uyandırdı.
Yasama,Freedom,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,Parliament,Yürütme üzerine yoğun tartışmalar yaşanmaktadır.
Yargı,Human rights,Yargı konusunda yapılan reformlar geniş yankı uyandırdı.
Propaganda,Parliament,"Propaganda, demokrasinin işleyişinde kritik bir rol oynar."
Bürokrasi,Executive,Bürokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Ekonomi politikası,Political crisis,Ekonomi politikası kavramı modern siyaset biliminin temelini oluşturur.
Yerel yönetim,Constitutional amendment,Yerel yönetim konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal güvenlik,Independence,Ulusal güvenlik kavramı modern siyaset biliminin temelini oluşturur.
Anayasa değişikliği,Sovereignty,"Anayasa değişikliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parlamento sistemi,Parliamentary system,Parlamento sistemi üzerine yoğun tartışmalar yaşanmaktadır.
Siyasi kriz,Opposition,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,State policy,"Parti disiplini, demokrasinin işleyişinde kritik bir rol oynar."
Ulusal çıkarlar,Economic policy,Ulusal çıkarlar üzerine yoğun tartışmalar yaşanmaktadır.
Kamuoyu,Diplomacy,Kamuoyu üzerine yoğun tartışmalar yaşanmaktadır.
Devlet politikası,Reform,"Devlet politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Sivil toplum,Human rights,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,National security,Yolsuzluk kavramı modern siyaset biliminin temelini oluşturur.
Çoğulculuk,Parliament,Çoğulculuk kavramı modern siyaset biliminin temelini oluşturur.
Temsili demokrasi,Reform,"Temsili demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Egemenlik,Constitution,Egemenlik kavramı modern siyaset biliminin temelini oluşturur.
Bağımsızlık,Corruption,"Bağımsızlık, demokrasinin işleyişinde kritik bir rol oynar."
Demokrasi,Diplomacy,"Demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Hukukun üstünlüğü,National security,"Hukukun üstünlüğü perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İnsan hakları,Reform,İnsan hakları kavramı modern siyaset biliminin temelini oluşturur.
Anayasa,Sovereignty,Anayasa kavramı modern siyaset biliminin temelini oluşturur.
Özgürlük,Constitution,"Özgürlük, demokrasinin işleyişinde kritik bir rol oynar."
Siyaset,Diplomacy,Bir toplumun Siyaset ilkelerine bağlı olması önemlidir.
Diplomasi,Party discipline,"Diplomasi, günümüz siyasetinde bir dönüm noktasıdır."
Uluslararası ilişkiler,Opposition,"Uluslararası ilişkiler perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Meclis,Independence,"Meclis, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Reform,Representative democracy,"Reform perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Muhalefet,Reform,Muhalefet kavramı modern siyaset biliminin temelini oluşturur.
İktidar,Judiciary,"İktidar, günümüz siyasetinde bir dönüm noktasıdır."
Seçim,Freedom,"Seçim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Koalisyon,Corruption,Koalisyon konusunda yapılan reformlar geniş yankı uyandırdı.
Halk egemenliği,Bureaucracy,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,Executive,Yasama üzerine yoğun tartışmalar yaşanmaktadır.
Yürütme,Parliament,"Yürütme perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yargı,Politics,"Yargı perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Propaganda,Local government,Bir toplumun Propaganda ilkelerine bağlı olması önemlidir.
Bürokrasi,Parliament,"Bürokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Ekonomi politikası,Political crisis,Bir toplumun Ekonomi politikası ilkelerine bağlı olması önemlidir.
Yerel yönetim,Diplomacy,Yerel yönetim kavramı modern siyaset biliminin temelini oluşturur.
Ulusal güvenlik,Coalition,"Ulusal güvenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa değişikliği,Diplomacy,Anayasa değişikliği konusunda yapılan reformlar geniş yankı uyandırdı.
Parlamento sistemi,Economic policy,Parlamento sistemi konusunda yapılan reformlar geniş yankı uyandırdı.
Siyasi kriz,Election,Siyasi kriz konusunda yapılan reformlar geniş yankı uyandırdı.
Parti disiplini,Election,Parti disiplini konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal çıkarlar,Coalition,Ulusal çıkarlar kavramı modern siyaset biliminin temelini oluşturur.
Kamuoyu,Sovereignty,"Kamuoyu, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Devlet politikası,Judiciary,Devlet politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Sivil toplum,Corruption,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Opposition,"Yolsuzluk, demokrasinin işleyişinde kritik bir rol oynar."
Çoğulculuk,Propaganda,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,State policy,"Temsili demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Egemenlik,Ruling party,Egemenlik kavramı modern siyaset biliminin temelini oluşturur.
Bağımsızlık,Bureaucracy,"Bağımsızlık, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Demokrasi,Opposition,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Corruption,Bir toplumun Hukukun üstünlüğü ilkelerine bağlı olması önemlidir.
İnsan hakları,Rule of law,"İnsan hakları, demokrasinin işleyişinde kritik bir rol oynar."
Anayasa,Political crisis,"Anayasa, günümüz siyasetinde bir dönüm noktasıdır."
Özgürlük,Political crisis,"Özgürlük, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyaset,Human rights,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,Constitutional amendment,Bir toplumun Diplomasi ilkelerine bağlı olması önemlidir.
Uluslararası ilişkiler,State policy,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,Human rights,Meclis konusunda yapılan reformlar geniş yankı uyandırdı.
Reform,Reform,Bir toplumun Reform ilkelerine bağlı olması önemlidir.
Muhalefet,Parliament,"Muhalefet, günümüz siyasetinde bir dönüm noktasıdır."
İktidar,Political crisis,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Reform,"Seçim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Koalisyon,Politics,"Koalisyon perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Halk egemenliği,Politics,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,National security,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Parliament,Bir toplumun Yürütme ilkelerine bağlı olması önemlidir.
Yargı,Executive,"Yargı, demokrasinin işleyişinde kritik bir rol oynar."
Propaganda,Local government,Propaganda kavramı modern siyaset biliminin temelini oluşturur.
Bürokrasi,Legislation,"Bürokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ekonomi politikası,Election,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,Constitution,"Yerel yönetim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ulusal güvenlik,Democracy,"Ulusal güvenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa değişikliği,Parliamentary system,"Anayasa değişikliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parlamento sistemi,Representative democracy,Parlamento sistemi üzerine yoğun tartışmalar yaşanmaktadır.
Siyasi kriz,Popular sovereignty,Bir toplumun Siyasi kriz ilkelerine bağlı olması önemlidir.
Parti disiplini,Economic policy,Parti disiplini üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal çıkarlar,Opposition,Ulusal çıkarlar kavramı modern siyaset biliminin temelini oluşturur.
Kamuoyu,Rule of law,Kamuoyu üzerine yoğun tartışmalar yaşanmaktadır.
Devlet politikası,Economic policy,Devlet politikası üzerine yoğun tartışmalar yaşanmaktadır.
Sivil toplum,Corruption,Sivil toplum konusunda yapılan reformlar geniş yankı uyandırdı.
Yolsuzluk,Politics,Yolsuzluk üzerine yoğun tartışmalar yaşanmaktadır.
Çoğulculuk,Executive,Çoğulculuk konusunda yapılan reformlar geniş yankı uyandırdı.
Temsili demokrasi,Coalition,"Temsili demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Egemenlik,Propaganda,"Egemenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bağımsızlık,Human rights,"Bağımsızlık, günümüz siyasetinde bir dönüm noktasıdır."
Demokrasi,Public opinion,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,State policy,Hukukun üstünlüğü üzerine yoğun tartışmalar yaşanmaktadır.
İnsan hakları,Sovereignty,"İnsan hakları, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa,Election,Anayasa konusunda yapılan reformlar geniş yankı uyandırdı.
Özgürlük,Democracy,Özgürlük kavramı modern siyaset biliminin temelini oluşturur.
Siyaset,National security,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,Representative democracy,"Diplomasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Uluslararası ilişkiler,Corruption,Bir toplumun Uluslararası ilişkiler ilkelerine bağlı olması önemlidir.
Meclis,Corruption,"Meclis, günümüz siyasetinde bir dönüm noktasıdır."
Reform,Bureaucracy,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,State policy,Muhalefet konusunda yapılan reformlar geniş yankı uyandırdı.
İktidar,Ruling party,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Judiciary,Bir toplumun Seçim ilkelerine bağlı olması önemlidir.
Koalisyon,Ruling party,"Koalisyon perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Halk egemenliği,Independence,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,National interests,"Yasama, günümüz siyasetinde bir dönüm noktasıdır."
Yürütme,Opposition,"Yürütme perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yargı,Pluralism,Yargı konusunda yapılan reformlar geniş yankı uyandırdı.
Propaganda,Legislation,Propaganda konusunda yapılan reformlar geniş yankı uyandırdı.
Bürokrasi,Judiciary,"Bürokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Ekonomi politikası,Pluralism,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,Coalition,Yerel yönetim konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal güvenlik,Freedom,Ulusal güvenlik üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa değişikliği,Parliament,"Anayasa değişikliği, günümüz siyasetinde bir dönüm noktasıdır."
Parlamento sistemi,Freedom,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,Reform,Siyasi kriz üzerine yoğun tartışmalar yaşanmaktadır.
Parti disiplini,Civil society,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Representative democracy,"Ulusal çıkarlar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Kamuoyu,Political crisis,Bir toplumun Kamuoyu ilkelerine bağlı olması önemlidir.
Devlet politikası,International relations,"Devlet politikası, demokrasinin işleyişinde kritik bir rol oynar."
Sivil toplum,Human rights,Sivil toplum konusunda yapılan reformlar geniş yankı uyandırdı.
Yolsuzluk,Ruling party,Yolsuzluk konusunda yapılan reformlar geniş yankı uyandırdı.
Çoğulculuk,Judiciary,Bir toplumun Çoğulculuk ilkelerine bağlı olması önemlidir.
Temsili demokrasi,Corruption,"Temsili demokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Egemenlik,Coalition,Bir toplumun Egemenlik ilkelerine bağlı olması önemlidir.
Bağımsızlık,Politics,"Bağımsızlık, günümüz siyasetinde bir dönüm noktasıdır."
Demokrasi,Judiciary,Demokrasi kavramı modern siyaset biliminin temelini oluşturur.
